url,title,author,publication_date,content
https://www.euronews.com/2025/07/25/extent-of-damage-from-cyprus-wildfires-becoming-clear-as-blazes-brought-under-control,Extent of damage from Cyprus wildfires becoming clear as blazes brought under control,N/A,2025-07-25 14:41:16 +02:00,"As firefighting forces in Cyprus stay on high alert for any additional flare-ups along the fire's front, the devastation from the blaze that claimed two lives becomes increasingly evident.
About 125 square kilometres of greenery was reduced to ashes in the mountainous Limassol region, according to data from the European Space Agency's (ESA) WorldCover Programme.
Roughly 50% of the total burnt area is grassland, 31% hardwood vegetation, 16% tree cover and 1.3% residential.
The wildfires claimed the lives of two people, a 77-year-old woman and her 84-year-old husband, who were found charred to death in their car. They had become trapped by the blaze after trying to escape their home in the village of Monagri.
Two people had been reported missing, local authorities are investigating whether the missing persons correspond with the couple found in their car.
Meanwhile, seven other people are receiving treatment in state hospitals, two of whom were seriously injured but are now in stable condition. Five others are expected to be discharged soon.
Ten countries responded to Cyprus' request for international assistance to help extinguish the fire, Agriculture Minister Maria Panagiotou said, including Jordan, Israel and Spain, which sent aircraft on Thursday.
Greece is additionally sending 26 forestry workers who are specialised in handling resurgent fires.
Meanwhile, 17 areas remain without power as the fire burned much of the electricity infrastructure. As for civilian infrastructure, 43 houses were completely burnt down while another 29 were severely damaged.
The Cypriot government announced that it will cover 100% of the damage to the properties of the affected people."
https://www.euronews.com/business/2025/07/30/mercedes-predicts-360mn-hit-from-us-tariff-turmoil-and-china-slowdown,Mercedes predicts €360 million hit from US tariff turmoil and China slowdown,N/A,2025-07-30 13:49:43 +02:00,"US tariffs will knock over €360 million off the bottom line for German carmaking powerhouse Mercedes-Benz, with the company predicting 2025 sales well below last year's total.
According to an earnings update published on Wednesday, second-quarter profits have already fallen 10% compared to last year and are expected to drop further by the end of 2025. EBIT (earnings before interest and taxes) and earnings per share have both fallen by a staggering 68%.
Quarterly sales in China — normally Mercedes’ biggest market — also fell nearly 20 % year-on-year as domestic electric car brands got cheaper and more popular.
To soften the hit, Mercedes plans to lean even harder on its top end models and keep costs tight. In other words, it hopes that bigger margins on luxury vehicles will offset the smaller number of cars it expects to sell.
“Mercedes-Benz Group now sees Group revenue significantly below the prior-year level based on lower sales expected at Mercedes-Benz Cars and Mercedes-Benz Vans,” the company said in a statement.
For most of this year, European-made cars were imported into the US at a tariff of 27.5%, but after the most recent deal struck between European Commission President Ursula von der Leyen and US President Donald Trump, they will be imported at 15% starting on Friday.
Europe’s automobile sector directly and indirectly employs a whopping 13.8 million people, providing one in every 16 EU jobs. This makes it the backbone for a large share of household incomes across the bloc, especially in the regions where auto manufacturing hubs are located.
Mercedes-Benz CEO Ola Källenius said the firm would have to navigate the altered political environment in the near future by selling more luxury cars and investing in innovation.
“We’re adapting to new geopolitical realities by using our global production footprint intelligently and by executing our Next Level Performance programme, which goes beyond efficiency measures, to increase the resilience of our company,” CEO Ola Källenius said in a statement.
Specifically, the mid-year report highlighted the pivot to research and development (R&D) to create new products and technologies.
Carmakers pour about €73 billion annually into R&D, more than any other private sector in Europe. Their breakthroughs then often spill into other sectors, such as batteries, robotics and AI.
“The best response is to stay on course to deliver desirable and intelligent products, while keeping a tight grip on costs,” Källenius continued.
Mercedes cars have a strong brand identity and loyalty among consumers who were drawn to their robust engines and high-end, sleek designs, citing reliability and durability.
The company is a top-five player in the global carmaker ranking in terms of revenue, along with two other German companies, Volkswagen and BMW. In the luxury market, it ranks second globally behind BMW.
Motor-vehicle ownership taxes alone inject roughly €428bn a year into EU treasuries, a revenue stream that is critical for public services and larger than the entire annual EU budget."
https://www.euronews.com/travel/2025/07/30/russia-earthquake-and-tsunami-travellers-warned-to-follow-evacuation-advice,Russia earthquake and tsunami: Travel advice after Hawaii and Japan flights cancelled,N/A,2025-07-30 13:45:30 +02:00,"A powerful 8.8-magnitude earthquake off the east coast of Russia on Wednesday morning has triggered tsunami waves that have already reached Japan and Hawaii. Warnings are in place in the US state of Alaska.
It is one of thestrongest earthquakesrecorded in modern history.
Japan has ordered nearly 2 million people to evacuate, warning that tsunami waves could continue for more than a day. The highest wave recorded so far has been 1.3 metres, but authorities say they could reach as high as 3 metres.
Tsunami alerts of varying levels have also been issued across many Pacific islands, parts of China, Indonesia, New Zealand, Peru, Mexico and the Galapagos Islands off Ecuador.
The UK Foreign Office has updated its travel advice for 15 countries. Travellers are being warned to follow the advice of local authorities and watch for updates if they are in a place where an alert has been issued.
Tsunamiwaves have reached Hawaii, with a 1.2 metre swell recorded off Oahu. A 1.74 metre has been recorded at Kahului, Maui, while one of 1.5 metres was recorded in Hilo.
Hawaii Governor Josh Green has asked people to follow evacuation orders and stay calm.
The tsunami warning has since been downgraded, and evacuees have been permitted to return home.
A 1.3 metre wave has reached Japan's northern Iwate prefecture, according to the country's weather agency, with others showing up in the Fukushima and Miyagi prefectures.
The tsunami has also hit the coast of California, according to the US National Weather Service.
It has reached the shore in Arena Cove and Monterey in the north of the state, and is making its way further south, the service adds.
In Indonesia, residents and tourists in Papua, North Sulawesi, North Maluku and Gorontalo have been advised not to approach coastal areas.
Ferries connecting Hokkaido and Aomori on the northern tip of Japan’s Honshu island were suspended, as well as those connecting Tokyo and nearby islands.
Some local train operations have been suspended or delayed as well, according to operators.
Sendai airport says its runway has been temporarily closed with two domestic flights, one from Fukuoka and another from Osaka, diverted to other airports.
Japan Airlines and All Nippon Airways have cancelled all flights to Sendai airport.
Hundreds of delays have been recorded at other Japanese airports including Narita International, Tokyo International (Haneda), Kansai International and Fukuoka.
Several flights have already been diverted away from Hawaii followingtsunamiwarnings, according to FlightRadar24. That includes some that had already departed from Los Angeles, Vancouver, San Francisco, and San Diego.
Honolulu Airport is not closed but is advising travellers to check directly with their airline for the most up-to-date flight status and travel advisories.
Some arrivals scheduled for this afternoon have been cancelled, including an American Airlines flight from Dallas-Fort Worth, United Airlines from San Francisco, and Delta Air Lines from Seattle and Los Angeles.
Cancelled departures this afternoon include a Delta Air Lines flight to Minneapolis, American Airlines to Dallas-Fort Worth, and United Airlines to Houston and Denver.
Alaska Airlines and Hawaiian Airlines have suspended services to, from or within the Hawaiian islands. As a safety precaution, Alaska Airlines said that flights en route to Hawaii are returning to the mainland or diverting as needed.
""Guests with travel to, from or within the Hawaiian Islands should check the status of their flight before heading to the airport. We are monitoring airport conditions with government agencies and could see operational impacts,"" the airline said in a statement.
It added that a waiver is in place to allow passengers flexibility to adjust their travel plans.
The US Coast Guard has ordered all commercial vessels to evacuate Hawaiian ports, with all harbours closed to incoming traffic.
Norwegian Cruise Line's Pride of America ship has been forced to depart from Hilo harbour in Hawaii around two and a half hours ahead of schedule.
Passengers received alerts reading, “Due to a tsunami warning issued by the State of Hawaii, Pride of America will be departing Hilo immediately as directed by the Department of Transportation.”
“If you’re not in the vicinity of the port, seek higher ground and follow the direction of the local authorities for your safety.”
Many passengers who were out on excursions, as well as crew, were not able to get back to the ship before it left the port, leaving them stranded.
Oceania Cruises’ Oceania Regatta also reportedly executed an early departure Kailua-Kona port, according to the website Cruise Hive.
A ship in deeper waters will barely notice a tsunami travelling below it, and so it is standard procedure for vessels to head away from the port when a tsunami is likely to hit."
https://www.euronews.com/2025/07/30/eu-and-arab-league-reaffirm-support-for-two-state-solution-urge-hamas-to-disarm,"EU and Arab League reaffirm support for two-state solution, urge Hamas to disarm",N/A,2025-07-30 06:03:52 +02:00,"The European Union and Arab League, as well as several other countries, including Britain and Canada, voiced their commitment to revive the two-state solution in a bid to end Israel's devastating war on Gaza.
High-level representatives gathered in New York on Monday at an International conference, co-chaired by France and Saudi Arabia, at the United Nations Headquarters.
The United Nations (UN) conference, which was postponed from June and scaled down from world leaders to ministers, established eight high-level working groups to offer proposals on a broad range of topics with regards to the two-state solution.
It resulted in a seven-page declaration, called the ""New York Declaration,"" which sets out a phased plan that urges countries to recognise the state of Palestine, calls for the disarmament of Hamas and envisions the Palestinian Authority governing.
""In the context of ending the war in Gaza, Hamas must end its rule in Gaza and hand over its weapons to the Palestinian Authority, with international engagement and support, in line with the objective of a sovereign and independent Palestinian State,"" the declaration read.
The declaration also supports the deployment of a “a temporary international stabilisation mission” under the UN Security Council to protect Palestinians, oversee the transfer of administration to the Palestinian Authority, and monitor the ceasefire.
The text condemns the deadly 7 October attack by Hamas, in which the militant group killed about 1,200 people, and took about 250 people hostage. Some 50 of who are still being held. It marks the first condemnation by Arab nations of Hamas.
It also condemns Israel's military offensive in Gaza, in which it killed more than 60,000 Palestinians, and its ""siege and starvation, which have produced a devastating humanitarian catastrophe.""
Co-chairs France and Saudi Arabia urged all 193 UN member states to support the document before the start of the 80th session of the UN General Assembly set to take place mid-September.
Israel's Prime Minister Benjamin Netanyahu opposes a two-state solution and has dismissed the meeting, citing both nationalistic and security concern. The United States, a key ally of Israel, also boycott the event.
France and the United Kingdom have previously expressed their intention to recognise the state of Palestine, which would align them with the 147 UN member states that have already done so.
French President Emmanuel Macron announced last week that it would recognise Palestine at the United Nations General Assembly in September, which would make them the first G7 country and permanent member of the UN Security Council to do so.
United Kingdom Prime Minister Keir Starmer said on Tuesday that Britain would recognise the state of Palestine before September's meeting if Israel did not agree to a ceasefire and a long-term peace process in the upcoming eight weeks."
https://www.euronews.com/2025/07/30/watch-the-video-high-waves-hit-japan-after-russia-earthquake-triggers-tsunami,Watch the video: High waves hit Japan after Russia earthquake triggers tsunami,N/A,2025-07-30 14:28:10 +02:00,"Large waves caused water levels to rise across Japan after a massive 8.8 magnitude earthquake off Russia's Far East triggered a tsunami warning across the Pacific.
Waves of more than 1.22 metres were recorded by domestic media at Kuji port in the northern Iwate Prefecture, with video footage showing water swelling.
Authorities said that a tsunami as high as 60 centimetres had been detected as swell moved south along the Pacific coast from Hokkaido to Tokyo Bay. Officials warned that larger waves could still come.
Local media reported one death — a woman in her 50s who died as her car fell over a cliff when heading to an evacuation site in the city of Kumano, and one minor injury in the Hokkaido prefecture.
Japan's Meteorological Agency later lowered its tsunami alert to an advisory on the Pacific coast south of Fukushima. The warnings for the belt from the eastern Ibaraki region down to the southern Wakayama region have been downgraded to ""advisories,"" the country's weather agency said on its website.
The alert is still in place further north in the country.
Japanese authorities warned the nearly 2 million residents asked to evacuate that they might not be able to return home by the day's end.
Japan’s Chief Cabinet Secretary Yoshimasa Hayashi said waves could remain high for at least one day, and urged evacuees to take precautions and stay well hydrated in the summer heat.
The quake overnight on Wednesday triggered tsunami waves and warnings across the Pacific, including parts of Hawaii, North, Central and South America and the Pacific islands."
https://www.euronews.com/2025/07/30/at-least-nine-people-killed-in-explosion-at-fireworks-factory-in-central-thailand,At least nine people killed in explosion at fireworks factory in central Thailand,N/A,2025-07-30 12:54:28 +02:00,"At least nine people have been killed in an explosion at a fireworks factory in central Thailand, local officials said on Wednesday.
The blast occurred in Suphan Buri province, about 95 kilometres northwest of Bangkok in the heart of the country’s central rice-growing region.
The cause of the explosion was not immediately known.
The Samerkun Suphan Buri Rescue Foundation reported nine deaths and said two people were taken to hospital in critical condition.
The provincial government's public relations department said one person had been injured. The number of people missing was not immediately clear.
Police Senior Sergeant Major Pinyo Chanmanee said the explosion took place in a building used to produce fireworks. It was not clear if it was licensed to do so.
Video and photographs from the scene showed shattered wooden buildings in green rice fields.
A similar incident in the same area in January 2024 killed around 20 people.
In July 2023, a large explosion at a fireworks warehouse in southern Thailand killed at least 10 and wounded more than 100, according to officials."
https://www.euronews.com/next/2025/07/29/metas-new-wristband-allows-you-to-type-without-touching-a-screen-heres-how-the-ai-device-w,Meta’s new wristband allows you to type without touching a screen. Here’s how the AI device works,N/A,2025-07-29 14:31:49 +02:00,"Imagine sending a text or playing a game without lifting a finger. Or at least, without moving it very much.
This wristband, developed by Meta’s researchers, might just make that real.
The team recently published a study on a new wrist-worn device that turns the slightest muscle twitches into commands that a computer can understand.
The “neuromotor wristband” is designed to capture the intention behind the movement, even if the user’s hand isn’t touching a screen or surface.
It can detect and decode electrical signals produced by forearm muscles using artificial intelligence (AI).
In a video demonstration, a user writes the words “hello world” in mid-air, and a visualisation of the corresponding text appears alongside.
Meta also showed how people can move a cursor around a screen and play games using only finger taps or tiny hand motions.
""It really is a somewhat breathtaking set of discoveries we have here,” Thomas Reardon, vice president of research at Meta Reality Labs, said in a company-provided video explanation.
Most brain machine interfaces available todayrequire surgery.
Meanwhile, the electrodes in the wristband pick up signals sent from the brain to the muscles, instead of putting the sensors directly in the brain by drilling into the skull.
“We decided to take a different approach and record from the natural output of the brain. We don't need to go into your body to listen to [it]. We can do that from the side of the body,"" Reardon said.
The wrist and forearm are packed with muscles that control hand and finger movements.
These neuromuscular signals are processed in real time and send commands to computers via Bluetooth.
The Meta team collected training data from thousands of participants to build an AI that works for users with different movement styles.
The team says the wristband will be able to help a wide spectrum of users, from individuals with disabilities to everyday users.
""We took the approach of saying, how would we build something such that it just worked right out of the box with eight billion people?” Reardon said.
“This research that we're publishing demonstrates that there are some inherent, what we call scaling laws, that allow us to build a general model for really all of civilisation, such that people can put on a band and start using their brain directly,” Reardon added.
“They elect those signals from their brain in a general way to control a computer”.
Patrick Kaifosh, director of research science at Meta Reality Labs, said he expects “the technology to go a great deal farther”.
“What you've seen is these scaling curves continue as you get more people, more participants, data, it gets better and better,"" he added.
Meta says it hopes that the study offers a blueprint to the broader scientific community “to create neuromotor interfaces of their own,” according to astatement.
It has recently released over 100 hours of muscle signal data from more than 300 participants.
For more on this story, watch the video in the media player above."
https://www.euronews.com/2025/07/30/trump-says-epstein-stole-young-female-staff-from-his-mar-a-lago-resort,Trump says Epstein 'stole' young female staff from his Mar-a-Lago resort,N/A,2025-07-30 10:45:25 +02:00,"US President Donald Trump has said that the disgraced financier and convicted sex offender Jeffrey Epstein ""stole"" young women who worked at his Mar-a-Lago resort.
One of the women was Virginia Giuffre, among Epstein's most well-known sex trafficking accusers, Trump told reporters aboard Air Force One on Tuesday while returning from a trip to Scotland.
Trump's comments expanded on remarks he had made a day earlier, when he said he had banned Epstein from his private club in Florida two decades ago because his one-time friend ""stole people that worked for me"".
The president has become increasingly rattled by questions about the pair's relationship amid an outcry over his administration's refusal to release more records about the government's sex-trafficking investigation into Epstein after promises of transparency.
Conspiracy theories have been rife among parts of Trump's MAGA base, and he has tried to downplay or deflect attention and questions into the Epstein case.
Trump has expressed frustration that people are still talking about it six years after Epstein died by suicide in prison while awaiting trial, criticised some of his supporters, and repeatedly called the issue a ""hoax"".
His latest comments came as lawyers for Epstein's imprisoned former girlfriend Ghislaine Maxwell — who was convicted of helping him sexually abuse underage girls — said that she is willing to testify before Congress if she is granted immunity and other protections.
While speaking to reporters on Air Force One, Trump said he was upset that Epstein was ""taking people who worked for me"". The women, he said, were ""taken out of the spa, hired by (Epstein) — in other words, gone"".
""I said, listen, we don’t want you taking our people,"" Trump said. When it happened again, the president said he banned Epstein from Mar-a-Lago.
Last week, the White House said the president had cut ties with his former friend because he regarded him as a ""creep"".
Asked by reporters if Giuffre was one of the employees poached by Epstein, Trump hesitated but then said, ""he stole her"".
Giuffre died by suicide earlier this year. She had alleged that Maxwell spotted her working as a spa attendant at Mar-a-Lago in 2000, when she was a teenager, and hired her as Epstein’s masseuse, which led to sexual abuse.
Although Giuffre's allegations did not become part of criminal prosecutions against Epstein, she is central to conspiracy theories about the case. She accused Epstein of pressuring her into having sex with powerful men.
Maxwell — who has denied Giuffre’s allegations — is serving a 20-year prison sentence in a Florida federal prison for conspiring with Epstein to sexually abuse underage girls.
Earlier this month, the Republican-led House Oversight and Government Reform Committee subpoenaed Maxwell to testify before lawmakers on 11 August.
A spokeswoman for the committee said on Tuesday that the panel would not consider granting the immunity she requested in exchange for her testimony.
The potential interview is part of a frenzied, renewed interest in the Epstein saga following the US Justice Department's statement earlier this month that it would not be releasing any additional records from the investigation.
In an apparent U-turn, US Attorney General Pam Bondi walked back the notion that Epstein had kept a ""client list"" of elites who took part in his trafficking of underage girls.
The abrupt announcement stunned online sleuths, conspiracy theorists and elements of Trump's political base who had been hoping to find proof of a government cover-up.
Since then, the Trump administration has sought to present itself as promoting transparency, with the department urging courts to unseal grand jury transcripts from the sex trafficking investigations. A judge in Florida last week rejected the request, although similar requests are pending in New York.
Separately, Maxwell's lawyers have urged the US Supreme Court to review her conviction, saying she did not receive a fair trial.
They also say that one way she would testify ""openly and honestly, in public,"" is in the event of a pardon by Trump. The president has told reporters that such a move is within his rights, but that he has not been asked to do so.
""She welcomes the opportunity to share the truth and dispel the many misconceptions and misstatements that have plagued this case from the beginning,"" her lawyers said."
https://www.euronews.com/business/2025/07/30/entrepreneur-like-a-ukrainian-100000-ukrainian-companies-have-opened-in-poland-since-2022,"Entrepreneur like a Ukrainian: 100,000 Ukrainian companies have opened in Poland since 2022",N/A,2025-07-30 14:36:18 +02:00,"At the beginning of July 2025, 29,044 companies owned by Ukrainians were recorded in the Polish National Court Register. Of this number, 13,014 companies were opened after February 2022, i.e. after Russia's full-scale invasion of Ukraine, which resulted in around one million refugees from Ukraine settling in Poland.
Gremi Personal's analytical centre highlights that approximately 6% of all new companies registered in Poland in the last 3.5 years are owned by Ukrainians, and the total capital of companies established after the outbreak of war exceeds PLN 533 million (approximately €125 million).
In 2024, Ukrainian entrepreneurs and employees paid almost PLN 1.65 billion (€385 million) to the Polish budget in the form of income and corporate income taxes.
""These figures show that Ukrainians in Poland are strengthening the economy and positively influencing its development through their substantial contribution in the form of taxes, but also daily consumption. And they don't take work away, they give it to others, which also affects the quality of services and business competition,"" said Damian Guzman, Deputy CEO of Gremi Personal.
""Of course, when doing business in Poland, they should adapt to the rules of our economy and business and, if they want to develop further, they must do so on the basis of the principles prevailing here and in the European Union. And this may be a challenge for some of them, as doing business in Ukraine differs in many 'aspects' from doing business in Poland.""
But establishing a company is not the most popular way Ukrainians are doing business in Poland. According to the Polish Economic Institute, from the beginning of 2022 to April 2025, Ukrainian citizens established 88,500 sole proprietorships (JDG)—a simplified way to be self-employed in Poland—including more than 33,000 last year.
This means that, including companies, more than 100,000 Ukrainian businesses have been established in Poland since the outbreak of the war. Currently, every tenth JDG established in Poland is a Ukrainian business, and among the business activities registered by foreigners, Ukrainian businesses account for 85%.
""The sectoral structure of registered business activities indicates the dominance of construction, IT and service activity companies. These three sectors account for more than half of all established companies,"" Dr Katarzyna Dębkowska, head of the Economic Foresight Team at the Polish Institue of Economics (PIE) told Euronews.**
She pointed out that Ukrainian construction companies are mainly engaged in finishing activities, IT companies specialise in programming, and over 80% of service activities are hairdressing and beauty companies.
According to Dr Dębkowska, there are three main reasons. Firstly, it is the best way for them to work according to their competences, because, according to research, Ukrainians employed in Poland on a permanent basis or on a contract basis usually get a position below their competences.
The second reason is accounting and taxation issues—Polish companies often require JDG status from their employees. The third reason is the prospects related to the European Union market—registering a company in Poland gives access to the entire EU market.
On the other hand, many Ukrainian entities operate very locally. ""Emerging Ukrainian businesses often offer products or services mainly aimed at Ukrainian citizens living in Poland, e.g. beauty establishments, catering, educational units,"" Dębkowska said.
Dębkowska also emphasised that companies run by Ukrainian citizens are in line with the needs of the Polish economy and partially fill the gaps in the labour market, as evidenced by the share of construction, ICT or transport and logistics companies.
""The entrepreneurship of immigrants, including Ukrainian citizens, supports economic development, innovation and competitive advantages. Immigrants create jobs, especially in their own communities, and fill market niches. Through transnational connections, there is an opportunity to internationalise companies and transfer knowledge. Highly skilled immigrants accelerate technological development and increase the number of patents,"" Dr Katarzyna Dębkowska concluded."
https://www.euronews.com/next/2025/07/30/google-will-sign-up-to-eus-ai-code-despite-concerns,Google will sign up to EU’s AI Code despite concerns,N/A,2025-07-30 09:59:09 +02:00,"US tech giant Google said it will sign the EU’s AI Code of Practice on General Purpose AI (GPAI), while still expressing concerns about bloc’s AI rules regarding innovation.
“While the final version of the Code comes closer to supporting Europe’s innovation and economic goals [...] we remain concerned that the AI Act and Code risk slowing down Europe’s development and deployment of AI,” the president of global affairs at Google’s parent company Alphabet, Kent Walker, said in a blogpost on Wednesday.
“In particular departures from EU copyright law, steps that slow approvals, or requirements that expose trade secrets could chill European model development and deployments, harming Europe’s competitiveness,” Walker said.
The Code, which the European Commissionreleasedearlier this month, is a voluntary set of rules that touches on transparency, copyright, and safety and security issues, aiming to help providers of GPAI models comply with the AI Act.
Those providers who sign up are expected to be compliant with the AI Act and can anticipate more legal certainty, others will face more inspections.
The rules on GPAI under the AI Act enter into force on 2 August. Companies that already have tools on the market will have two years to implement the rules. Tools launched after that date must be compliant with immediate effect.
US tech giant Metasaidlast week that it will not sign, having slammed the rules for stifling innovation. The drafting process of the Code has also received criticism from rightsholders, fearing it is a violation of copyright rules.
The Commission will make public a list with the signatories on 1 August.
Google said in its statement that it’s committed to work with the AI Office to ensure that the Code is “proportionate and responsive to the rapid and dynamic evolution of AI”."
